name,domain,expected_bubble,ooda_verdict,ooda_quality,ooda_r2,ooda_latency_ms,ooda_is_bubble,tfs_verdict,tfs_quality,tfs_r2,tfs_latency_ms,tfs_iterations,tfs_acceptor_match,tfs_satisfaction,tfs_is_bubble,cascade_verdict,cascade_quality,cascade_r2,cascade_latency_ms,cascade_is_bubble,cascade_path,cascade_tfs_satisfaction
housing_nv_2006,housing,True,NO_BUBBLE,0.17,-121.5064208603541,62.26210005115718,False,NO_BUBBLE,0.1,-121.5064208603541,62.417800014372915,1,False,0.1,False,NO_BUBBLE,0.17,-121.5064208603541,123.70320002082735,False,ooda_fallback,0.1
housing_fl_2006,housing,True,NO_BUBBLE,0.17,-2412.733754789627,51.624099956825376,False,NO_BUBBLE,0.3,-2412.733754789627,52.72559996228665,1,False,0.3,False,NO_BUBBLE,0.17,-2412.733754789627,102.18250000616536,False,ooda_fallback,0.3
housing_ca_2006,housing,True,POSSIBLE,0.51,0.9884395827424631,48.38580003706738,True,NO_BUBBLE,0.6,0.9884395827424631,46.85380001319572,1,False,0.6,False,POSSIBLE,0.51,0.9884395827424631,93.36970001459122,True,ooda_fallback,0.6
housing_az_2022,housing,True,NO_BUBBLE,0.17,-97.18548635888897,52.49480000929907,False,NO_BUBBLE,0.1,-97.18548635888897,52.14540002634749,1,False,0.1,False,NO_BUBBLE,0.17,-97.18548635888897,106.44919995684177,False,ooda_fallback,0.1
housing_id_2022,housing,True,BUBBLE,0.7365121733015465,0.9952907473884174,187.01479997253045,True,BUBBLE,1.0,0.9952907473884174,50.199300050735474,1,True,1.0,True,BUBBLE,1.0,0.9952907473884174,49.18520001228899,True,tfs,0.0
housing_ctrl_tx_2015,housing,False,POSSIBLE,0.5750943166858405,0.9906724347219154,132.2920999955386,True,BUBBLE,1.0,0.9906724347219154,44.399800011888146,1,True,1.0,True,BUBBLE,1.0,0.9906724347219154,44.1247999551706,True,tfs,0.0
housing_ctrl_oh_2018,housing,False,NO_BUBBLE,0.37956601795581013,0.6423546464093131,162.2380000189878,False,POSSIBLE,0.3,0.6423546464093131,153.8058000151068,1,False,0.3,True,NO_BUBBLE,0.37956601795581013,0.6423546464093131,297.79649997362867,False,ooda_fallback,0.3
housing_ctrl_pa_2014,housing,False,NO_BUBBLE,0.17,-175.45946413474277,51.538500003516674,False,NO_BUBBLE,0.3,-175.45946413474277,49.677399976644665,1,False,0.3,False,NO_BUBBLE,0.17,-175.45946413474277,101.69589996803552,False,ooda_fallback,0.3
housing_ctrl_il_2016,housing,False,NO_BUBBLE,0.17,-200.42396137063403,58.24509996455163,False,NO_BUBBLE,0.3,-200.42396137063403,58.26429999433458,1,False,0.3,False,NO_BUBBLE,0.17,-200.42396137063403,116.18449998786673,False,ooda_fallback,0.3
adversarial_v_recovery,adversarial,False,NO_BUBBLE,0.0,0.0,90.04839998669922,False,NO_BUBBLE,0.3,0.9824702374743998,74.14720003725961,1,False,0.3,False,NO_BUBBLE,0.0,0.0,164.25169998547062,False,ooda_fallback,0.3
adversarial_monotonic_rally,adversarial,False,NO_BUBBLE,0.26399999999999996,-179.36946671581498,234.27810001885518,False,NO_BUBBLE,0.1,-179.36946671581498,60.91500003822148,1,False,0.1,False,NO_BUBBLE,0.26399999999999996,-179.36946671581498,297.35740000614896,False,ooda_fallback,0.1
adversarial_fake_oscillation,adversarial,False,NO_BUBBLE,0.0,0.0,92.62790001230314,False,NO_BUBBLE,0.1,0.0686479540379713,74.23410000046715,1,False,0.1,False,NO_BUBBLE,0.0,0.0,169.4664999959059,False,ooda_fallback,0.1
adversarial_regime_jump,adversarial,False,NO_BUBBLE,0.0,0.0,123.95579996518791,False,POSSIBLE,0.3,0.893931812778467,210.05289995810017,1,False,0.3,True,NO_BUBBLE,0.0,0.0,344.0933999954723,False,ooda_fallback,0.3
adversarial_real_lppls_signal,adversarial,True,BUBBLE,0.7526615914271425,0.9629247658702831,415.17520003253594,True,BUBBLE,1.0,0.9629247658702831,100.02429998712614,1,True,1.0,True,BUBBLE,1.0,0.9629247658702831,111.11030000029132,True,tfs,0.0
adversarial_high_vol_flat,adversarial,False,NO_BUBBLE,0.19210383863000496,-64.18699520970883,304.51350001385435,False,NO_BUBBLE,0.1,-64.18699520970883,89.53260001726449,1,False,0.1,False,NO_BUBBLE,0.19210383863000496,-64.18699520970883,374.63270005537197,False,ooda_fallback,0.1
forward_nvidia_2024,finance,True,BUBBLE,0.6827046670260498,0.9858496330577197,410.2176000014879,True,BUBBLE,1.0,0.9858496330577197,104.13610003888607,1,True,1.0,True,BUBBLE,1.0,0.9858496330577197,105.43529997812584,True,tfs,0.0
forward_nikkei_2024,finance,True,BUBBLE,0.639962039773236,0.9464455101510234,477.10830002324656,True,NO_BUBBLE,0.1,-7383.327642848441,88.54260004591197,1,False,0.1,False,BUBBLE,0.639962039773236,0.9464455101510234,573.2720000087284,True,ooda_fallback,0.1
forward_btc_2024,finance,True,BUBBLE,0.8002291468535423,0.9683388714759933,396.51880000019446,True,BUBBLE,1.0,0.9683388714759933,95.4873000155203,1,True,1.0,True,BUBBLE,1.0,0.9683388714759933,107.35070001101121,True,tfs,0.0
forward_ctrl_sp500_2024_steady,finance,False,NO_BUBBLE,0.21000202657815265,-16.128310653664197,238.94780001137406,False,NO_BUBBLE,0.1,-16.128310653664197,69.21390001662076,1,False,0.1,False,NO_BUBBLE,0.21000202657815265,-16.128310653664197,312.31789995217696,False,ooda_fallback,0.1
forward_ctrl_gold_2024_rise,finance,False,NO_BUBBLE,0.21000100019117432,-44.86824704411746,281.2908999621868,False,NO_BUBBLE,0.1,-44.86824704411746,77.6426000520587,1,False,0.1,False,NO_BUBBLE,0.21000100019117432,-44.86824704411746,371.49370001861826,False,ooda_fallback,0.1
forward_ctrl_msft_2024_stable,finance,False,NO_BUBBLE,0.0,0.0,140.36089996807277,False,POSSIBLE,0.6,0.5101873680926019,79.62530001532286,1,False,0.6,True,NO_BUBBLE,0.0,0.0,223.67979999398813,False,ooda_fallback,0.6
